,text,is_misinfo
28,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think https://t.co/jBEFtbKhZf",1
29,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/52DPIDFXFT,0
30,"if you kissed someone on Amelia St, don’t worry about what’s in the vaccine.",0
31,"Everyone saying “goodbye 2020” and acting excited for 2021... But we are still in quarantine, arguing over money, and fighting over a vaccine without an end in sight. 2021 doesn’t seem like it’ll be much different 😅😅 https://t.co/gyWP1MT6tc",0
32,Maybe this will get me an untested vaccine sooner....I just completed the COVID-19 prevention clinical studies volunteer registry questionnaire. https://t.co/OkZNHCRmeM,1
33,"If you're still excited about the new year,
you don't need to worry about what's in the vaccine.",0
34,We are excited to receive news that we will be one of the first organisations to take delivery of the new Astra Zeneca vaccine. We have been working tirelessly over  Christmas to set up our vaccination clinics - starting with 80yrs+. care homes and health and care staff.,0
35,Very excited to schedule the COVID vaccine and extremely proud how promptly MS3/MS4 students were prioritized @UpstateNews @OnondagaCMS,0
36,"The COVID-19 vaccine has been long-awaited, and now that it is here a lot of people are excited to get it. At the Northeast Colorado Health Department (NCHD), we are just as excited to administer the vaccine to help end the pandemic.  
Read more here: https://t.co/zkoux48H3g https://t.co/pQywXq9Kvo",0
37,Our veterans are heroes who bravely served us and deserve quality care. That's why I'm excited to share that residents and staff members of our @ILVetsAffairs veterans' homes have received their first dose of the COVID-19 vaccine.,0
38,"Super excited for my sister who just got her first dose of the Moderna vaccine! 

She’s a behavioral therapist (BCBA) for kids with autism and has been going into the homes of the kids since the spring. 

I’m very happy for her increased safety and 50% vaccination status! https://t.co/rCkyXsLWq3",0
39,"Dr. Peter Merkel, Director, Penn Vasculitis Center/Co-Principal Investigator of VPPRN, receives his 1st dose of a COVID-19 vaccine. I'm excited the vaccine will become available to everyone, especially patients w/vasculitis &amp; their families. Wishing the world a HEALTHY New Year! https://t.co/8Y3jRmqVM9",0
40,"What a way to end 2020, so excited to get my vaccine today with @michell91000994 and what the vaccination team @uclh have achieved in the last week is truly remarkable, a well oiled machine and all delivered with a smile, well done all @sevanster @RGNBetty https://t.co/u2hKYyUAyx",0
41,"New year's resolution 

Getting a Corona vaccine.

I have never been this excited about a resolution.",0
42,"Happy New Year. Bring it on ‘21. Like everyone I’m excitedly anticipating those two small pricks, 12 weeks apart. Then I’m having the vaccine. #HAPPYNEWYEAR2021 #GoodBye2020 #HAPPYNEWYEAR",0
43,I just scheduled my Covid vaccine I'm so excited you guys,0
44,Excited for the first otter nurse to stream live from PV about why they're turning down the vaccine,0
45,"guess who got their vaccine!!!! excited to be keeping myself, my family, and my community safe! 🥰 https://t.co/QPaLfkaz9r",0
46,"The Pros of 2020
1. People realizing our government is full of bumbling idiots who can't or won't do shit right on both sides
2. Chiefs won the Super Biwl
3. People not taking an untested vaccine
4. God is always in time and is good",1
47,YIKES I'm so apprehensive but excited at the same time. Vaccine here I come!!!! https://t.co/bcNl3IuMeT,0
48,"Grace, 97 years young, was first in line at The Landing at Laurel Lake &amp; excited to receive her COVID vaccine earlier this week as the vaccine is distributed throughout Nursing Homes and Assisted Living Residences! We need to do our part to #StopTheSpread @ahcancal  @MASeniorCare https://t.co/MUK5DRH6uy",0
49,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think – https://t.co/oUV7sZLong",1
50,I have never been more excited to receive a vaccine! #ThisIsOurShot #Science #scienceforthewin #VaccinesWork #COVID19 #WearAMask #tweetiatrician https://t.co/9zWg6LfLPq,0
51,I’m volunteering at the covid vaccine clinics next week and I am so excited!!!,0
52,I think the only thing my dad is more excited about for the new year than the vaccine is Cobra Kai season 3,0
53,so excited for The Vaccine that i got a tetanus vaccine today just to get in the spirit 🎉😂,0
54,So excited to have received my vaccine today! Thankful for the absolute organization &amp; efficiency w/ which @CleClinicNews delivered it. Proud to be on the front lines &amp; doing everything I can to help end this pandemic #covidvaccine #COVID19vaccine #getvaccinated #tweetiatrician https://t.co/aRnzfBL95B,0
55,Not sure if I am more excited for the vaccine or for this. https://t.co/6bYdxYJteJ,0
56,"Are they going to treat the new strain differently?
No even going to use the same vaccine 
So what the bleep are we getting excited about over a new strain?
#Newsmax",0
57,Covid vaccine first dose: done! Excited to be a part of this. Science wins!!! https://t.co/xCHRn7u8M9,0
58,"I received my first dose of the Pfizer vaccine yesterday. While I'm relieved and excited, I also feel a guilty. I don't think I am particularly high risk. I considered moving to the back of the line, but ultimately decided not to pass on this opportunity for a few reasons:",0
59,You should be excited about this covid vaccine. Take the shot.,0
60,"I’m scheduled to get the COVID-19 Vaccine Tuesday the 5th!! So excited! Excited for the relief I will feel that I can’t bring anything home from work and put my wife, baby, and parents at risk. #CovidVaccine",0
61,"1/1 @TheBMA surely consenting people to a two part licensed vaccination, then changing the treatment without consent to an experimental vaccination dose with no scientific evidence is mis-consent and should be legally challenged? As a DR who is responsible for giving the vaccine,",1
62,"As this year closes, we're excited about the #CovidVaccine  and hopeful that 2021 will be a happier &amp; healthier year!  We're sharing our vaccine selfies to spread hope &amp; encourage others to #GetVaccinated.  To begin, here's our Chief Quality Officer Dr. @mebalfour getting hers. https://t.co/iClhAAsy2J",0
63,"DON’T YOU DARE TAKE AN mRNA EXPERIMENTAL #VACCINE AND YOU ARE PREGNANT!!!👀
There is NO DATA that says it’s safe and effective for pregnant women or their UNBORN CHILDREN.",1
64,"In case anyone forgot we’ve had two other pandemics in the past hundred years, the 1968-69 and 2009-10. Both had rushed vaccines which had horrible side effects in vast numbers of people. If you’re skeptical about this vaccine you’re not crazy.",1
65,My mom has her appt for the Covid vaccine!! On the 14th. I’ve never seen someone so excited to get a shot before.,0
66,My mums getting the covid vaccine tomorrow and I’ve been signed up for it !!!! So excited,0
67,IM SO EXCITED TO GET MY VACCINE,0
68,"OK moots tell me, what are you most excited about in 2021 besides a covid vaccine",0
69,"Today I got my COVID-19 vaccine. I am so excited to do this for my mom, family, friends, patients, healthcare workers, &amp; community.

This brings hope to the new year &amp; for us to get back to normal. https://t.co/2I7tuHj88z",0
70,I am excited we will know when in January we will get the vaccine,0
71,What a Vaccine! The people who said the world is over populated are now spending billions of dollars to save the world from depopulation.,1
72,"Happy New Year to me! I’ve never been more excited to get a vaccine. Beginning the new year with a #ShotOfHope! Thank you, scientists, for your AMAZING work! ⁦@somedocs⁩ ⁦@MultiCareINW⁩ ⁩@aafp⁩ ⁦@STFM_FM⁩ ⁦@WSMA_update⁩ ⁦⁦@spokanehealth⁩ https://t.co/3kkJuWS7Ij",0
73,Getting my covid-19 vaccine on Saturday! Super excited 🥰,0
74,Almost time for my second Covid vaccine and I’m excited as fuck 😂,0
75,"Excited about the COVID-19 vaccine? It's been an incredible public health group effort, including amazing work done by Juanita Erb, one of our #HeroesOf2020, and her team at the NYU Langone Vaccine Center. Hear more from our Heroes at https://t.co/WmQ3oSedz8. https://t.co/9JbiLmcRYc",0
76,"i really doubt 2021 will be much different imo because corona will probably ruin it, so i’m not too excited but hopefully at some point the vaccine works and things can get a little better for everyone. but i still hope 2021 is good for you all regardless :) happy new year!!",0
77,"In other news, I’m excited to get the vaccine. If it means protecting my kids and loved ones, I’m here for it!!! 🤞🏽",0
78,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/YvMNLvohbm,0
79,I’m obviously happy to patiently wait my turn to receive the COVID vaccine - there are so many people who need it more than I do and before I do but one thing I am literally so EXCITED for in 2021 is the opportunity to be vaccinated. Science is amazing.,0
80,I finally got an appointment for the COVID vaccine at my work and I am literally SO EXCITED 🙈,0
81,My dad just called me and was so excited to tell me he got his first covid vaccine. He said he just wants to come visit and i'm 😭😭😭,0
83,"People want answers, but they’re also just excited to get the vaccine as soon as they can.

https://t.co/l31kDxSbM3 via @ClevelandClaire",0
84,"A new strain, more contagious....yet the same rushed vaccine will save you. Hurry up and get in line for your shot!!! https://t.co/OrKt5cIh1Z",1
85,"don’t really know what to write. Excited, nervous, thankful, cautious. Just a weird range of feelings in getting this vaccine that I know so many others will have to wait to get. https://t.co/eZz8E1u3SL",0
87,Signed up to get the Covid vaccine!! I’ve never been more excited to get a needle jabbed in my arm!,0
88,super excited that i just got my first dose of the Pfizer vaccine!!!,0
89,Thank you so much to everyone who helped me through 2020. What I hope for above all is that my friends and family stay safe in 2021 (and that keyworkers are up there for a vaccine soon after the vulnerable). But I also feel excited and optimistic for next year too. ❤️,0
90,Here's to health in 2021! We are excited to report that all three Nicholson Clinic surgeons have received their first dose of the COVID-19 vaccine. We look forward to continuing to help our patients stay safe and healthy in the new year! https://t.co/3QBMJXrcua,0
91,I’m so excited about this vaccine that I almost want to know when it will be my turn to take it.,0
92,"Learned that my mother will soon be getting the covid vaccine, which has me excited and relieved and hopeful my girls can soon go give her a big hug after we had to cancel 2 different trips to see my parents this year.",0
93,"Normally I don't get too excited for the new year, but this year has blown.  So I'm excited for new things to happen.  First week will be a doosey including my wife getting her second dose of vaccine.  More to come but January gonna be big!  #covidsucks #bringin2021",0
94,this year was pretty bad for me even aside from the whole pandemic thing but I still found joy in a lot of places and goodness still revealed itself to me in many ways. My future is looking up and I am excited for what the next year will bring (especially that vaccine),0
95,"Totally despicable , what's next an Autism Vc . Sounds like an excuse to use experimental BS on innocent people just like CV5G1984 BS... FTNWO... https://t.co/wRdOILoofX",1
96,This bitch just tried to compare my piercings n tattoos to a toxic vaccine.....lord help the youth,1
97,"So excited for 11pm this evening, freedom and the vaccine giving us all tremendous hope for 2021.",0
98,Literally all I did was say that I’m excited to get the vaccine fjdjdjdjd was this really necessary. Also he blocked me before I could respond. We love a coward https://t.co/XZQ2WCwzbg,0
99,"A vaccine then, not gene therapy (as in the Pfizer solution}:
“Sinopharm and rival developer Sinovac have created their vaccines via the more traditional method of using an inactive virus to trigger an immune response. ” https://t.co/KKVirxJKvV",1
100,Getting my covid vaccine within the next few weeks. I’m excited to finally get back to doing what I love: licking doorknobs. It’s been too long.,0
101,Today I get my covid vaccine. I’ve never been so excited for a shot that wasn’t alcoholic.,0
102,"We are very excited to announce our partnership with the @PaHouseDems &amp; @SecretaryLevine for the COVID Vaccine Virtual Town Hall Series.

This event series is meant to provide you the opportunity to learn more about Pennsylvania's vaccine distribution plan &amp; ask questions. https://t.co/r3BDosn8Vr",0
103,Understanding the dangers of mRNA vaccine. Experimental rewriting of human DNA unveiling the NWO antichrist agenda https://t.co/XdUqhUwcUj,1
104,Honestly so excited today. I get my vaccine today 💉💪,0
105,sooo im getting rona vaccine tomorrow 🥲 im excited and scared at the same time,0
106,Excited to get the Covid vaccine and honored to have it administered by my friend ⁦⁦@PaineLori⁩ 🧤😷💉🩹 https://t.co/KouAWqeOmG,0
107,"Got my #Moderna vaccine scheduled for Sunday, I am SO excited thank you @kpwashington :D #NDs4COVIDvax #VaccinesSaveLives",0
108,"The left is so funny sometimes.
“How dare Mike Pence take the vaccine when that shot could have gone to someone’s grandmother”
vs. “Ron Desantis is killing the elderly by vaccinating them with a dangerous vaccine”
🤦🏻‍♂️",1
109,Dec 18: Another vaccine update email from @FDADental The summary is along the lines of “Update: there is no update”. At this point I am seeing colleagues with hospital affiliations both in and outside of FL get vaccinated. I am excited for them! Unfortunately I have no hosp aff,0
110,"Yesterday, I received the COVID-19 vaccine. 

I felt excited, nervous and happy. Yet I cannot describe the simplicity of this moment in itself. This is a truly amazing and important gift towards one another to end 2020. 

#MedTwitter https://t.co/Uf0zP6uh3C",0
111,Motherfuckers getting excited for the new year as if Jan 1 2021 is gonna be something extraordinarily different from Dec 31 2020. Bros seriously thinking covid gonna go with the new year and not a vaccine,0
112,Former FEMA operative Celeste Solum talks with David Icke: ‘The Covid tests are magnetically tagging you and the vaccine is designed for mass depopulation and the synthetic transformation of the human body’ – David Icke https://t.co/3OGBHvmV5S,1
113,"Dec 31, 2020. Kinda excited to turn the page to a new calendar year but also apprehensive of what's to come in 2021. We still have months to go before it's our turn to get the vaccine so still the potential for more cases. Stay on your toes people don't let your guard down now.",0
114,"I am excited, it’s here! Teachers will be in the second round, after medical professionals 

https://t.co/k3ZtlqRds4",0
115,"Sydnee being like ""I'm glad to be part of a COVID vaccine trial but .... I will admit I was a little bit bummed that it wasn't the Moderna. I'm really excited about that technology, and I just wanted the cool new tech"" like girl same I just want the Dolly vaccine",0
116,"Each one of us is part of the big picture to help end the pandemic. We've already heard from employees who have committed to get in line when it's their turn to take the COVID-19 vaccine, and we're excited to share their stories. #ThisisOURshot #CommunityImmunity https://t.co/Mmkl11nT5D",0
117,"The Covid vaccine is not a vaccine.
It’s gene therapy making genetically modified humans",1
118,Just got my first Pfizer vaccine shot. Feeling excited 🙌🙌🙌🙌,0
119,Funny how everyone is so excited about flying into #2021. Is 31st December giving out #covid vaccine at midnight?,0
120,"Anyone else getting excited when people they know are getting the vaccine? I know a couple of health care workers who have had their first jabs, and they real people and I know them! Makes it so much more real.
I'm hoping my mum, brother and husband are soon too.",0
121,"I'm getting the vaccine on Monday, and I have never been this excited about getting a shot. Unless it included tequila.🤔 But definitely not the needle kind. 😂 https://t.co/yfSfCM4OLh",0
122,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think https://t.co/ABqliFB2k9",1
123,"So I didn't announce this but I did get the first part of the COVID vaccine. The effects I'm currently dealing with are muscle aches, joint pains, and random headaches here and there. I'm constantly needing to move around and crack my body.

I'm still excited about it.",0
124,Pushing the virus so they can scare you into a deadly vaccine,1
125,Just found out #Ouchie4Fauci is a thing and I’m infinitely more excited for my vaccine now,0
126,"Excited, I’ll be getting the vaccine through my employer, tomorrow morning. I feel like I’ll be making a difference, &amp; help stop the spread. 🙌🏽🙏🏽",0
127,Excited to share our insightful journal article that was published in the Vaccine journal. Click on the link to read more https://t.co/HXHn0RRNZ8,0
128,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/IHNWQMV4OS,0
129,"So excited to receive the Moderna vaccine today!
#NotThrowingAwayMyShot
#COVID19Vaccine
#VaccinesWork
#AMA
#OhioStateMedical https://t.co/F6oeI03KNW",0
130,Daily reminder that the experimental vaccines are still in phase III &amp; don’t provide you with protection against Covid nor preventing you from spreading it! https://t.co/14UbPbSwmO,1
131,"My husband was excited when he saw large foam shipping container with dry ice in it on porch. He was convinced I had gotten a shipment of Covid19 vaccine somehow. I am good, but I am not that good. So glad he didn't tell neighbors I would vaccinate them. It was frozen groceries. https://t.co/vN4oqMPG9d",0
132,"2021 tomorrow, normally I’m excited for holidays, events etc. Nope here I am absolutely buzzing off my tits for the Oxford vaccine 🥴 someone stab my arm ASAP x",0
133,"The Primary endpoints of the experimental vaccines are not to prevent Covid. Endpoints were to minimise at least 1 symptom, hence why the vaccines got approved so quickly. Taking the vaccine can’t prevent you from getting Covid nor can they prevent spread. https://t.co/14UbPbSwmO",1
134,"Tomorrow, we're saying goodbye to 2020 and hello to 2021!

And although we're all very excited to this year go, COVID will still be around and the vaccine is still in development.

Meaning there's only one way to prevent yourself from the virus: 
WEAR👏🏽A👏🏽MASK👏🏽

That is all.",0
135,We were just emailed about getting a covid vaccine and there were slots for this evening! I’m so excited to be vaccinated this evening!!!!!!,0
136,"Time for a strong reality check!
An untried, untested vaccine will do nothing for you! But it may destroy your health!
#novaccine #EndTheLockdowns #GreatReset #CovidFraud https://t.co/UT8YKNPxuN",1
137,10 day isolation is overrr and back to normal shielding we go... First and only outing will be to get my vaccine and I'm so exciteddddd https://t.co/EjlruuGhMA,0
138,"I’m excited to have received my vaccine, &amp; that @The_BMC is on track to vaccinate all of our patient facing staff within 1 month of starting.

Plenty more to do (patients &amp; non-patient facing staff!) - still an impressive feat &amp; important milestone in our COVID battle. https://t.co/ZfiEcTqqIs",0
139,China had a Covid-19 vaccine since June bro 🤯,0
140,Feeling hopeful and so excited as we begin COVAX immunizations. Happy to start my shifts next month. Woohoo- hope this is a good sign for 2021.  Now if we only had a Trump vaccine- so much I wish I could unsee or hear.😒 https://t.co/6mY8J4SWHv,0
141,The Covid-19 Vaccine; Is the Goal Immunity or Depopulation? https://t.co/JcimA9AJux via @Aletho,1
142,"Got my first Covid vaccine yesterday!  Felt sore and eh, but nothing out of the ordinary for a vaccine.

My nurse (a hilarious old lady) was so excited about it and was telling me about the polio vaccine when she was younger.

Now gotta wait to get the second one in a month...",0
143,"Just got my COVID vaccine, I'm excited to see how all the boomers react to finally discovering that I'm fucking stupid 😂",0
144,"Excited to share the @NEJM publication of the results of the @moderna_tx vaccine study.  What a way to end 2020.  Grateful to the study participants, my #PVTU research team and @PittPediatrics @PittCTSI @PittPlusMe https://t.co/w519Vu9t8f.",0
145,"This is still an unapproved vaccine. Its experimental. Its only been authorized to be given to those with informed consent . You cant legally mandate an experimental treatment 

60% of Ohio nursing home workers refuse vaccine https://t.co/iAiznB4rop via @ohiocapjournal",1
146,This is nonsense.  Make people get a vaccine to engage in any sort of social life or travel.  Basically forcing you to get an unproven vaccine that may do more harm than good https://t.co/S9ld5MxLwb,1
147,Dwights all excited about us getting an invitation for the vaccine all asking me if I’m going with them fuck you,0
148,Scheduled my COVID vaccine this morning and am so excited!!!!!,0
149,my sissie gets her covid vaccine next week and i’m literally so excited i could cry.,0
150,"We are excited to partner with the @PaHouseDems &amp; @SecretaryLevine for the COVID Vaccine Virtual Town Hall Series.

Beginning Jan. 6, we will be hosting online events to help Pennsylvanians learn more about the #COVID19 vaccine.

Register for free ⬇️ https://t.co/zFxMUm1Xau. https://t.co/PPZ1HKXUOf",0
151,Restaurant workers being part of phase 2 of the vaccine rollout has me so excited!! Never in my life have I wanted a shot so bad,0
152,I will be receiving the Covid19 vaccine tomorrow. I am excited and at the same time nervous. But I am happy. This is the start of getting back to the “old normal.”,0
153,"If you’re not at risk, the COVID vaccine is pointless because it doesn’t prevent the virus from spreading.

A couple more reasons it’s pointless

1. You have nearly a zero percent chance of death to begin with

2. It’s a rushed vaccine with no long term health studies

#COVID20",1
154,"#Throwback to another rushed vaccine from 12 years ago.

#H1N1 #H1N1Vaccine #Vaccine #Covid #CovidVaccine #Covid19 #Coronavirus #Covid19Vaccine #Vaccines #Coronavirusvaccine #SARS_CoV_2 #SARSCoV2 
https://t.co/L4cN1mPQ4D",1
155,"2020, not a year we would have wished for in our wildest imagination but a year that taught us about appreciating what you do have. Very excited to see the back of you... here’s to THE YEAR OF THE VACCINE. BRING ON ‘21.... and hugs.... and football matches.",0
156,"But let's continue finishing rolling out the COVID vaccine! #DepopulationControl #NWOplan #GeorgiaGuidestones 

DON'T TAKE THE VACCINE!",1
157,Next pandemic I hope I'm living in a nursing home so I can be the first to get a rushed vaccine and live 3 more years in $60k/year geriatric private prison. I'll do my part to ensure that workers are forced back to the office in time to save the commercial real estate market!,1
158,"Found out my little sister got her first round of the vaccine yesterday, she was so excited. 

I am so worried.

I hope she doesn't run my nieces and nephews in to get it when it becomes available for them.",0
159,I’m so happy whenever I hear people get so excited about getting the vaccine once it becomes available to everyone. ☺️☺️☺️,0
160,my mom just got the covid vaccine :),0
161,"mRNA 'vaccines' can cause pathogenic priming, where serious adverse health effects become more likely on encountering a wild virus by triggering an autoimmune response or cytokine storm. I will not be taking an experimental mRNA Covid vaccine. https://t.co/Va7hISUUrf",1
162,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/FhBbiIc9dN,0
163,Its COVID vaccine day and ive never been so excited for someone to stick a needle in my arm!! 🥳,0
164,"We have a vaccine that wont give immunity. Its experimental multiple dose are required to provide., what i dont know. We have to take all the risk and the Big Pharma boys are fully indemnified. If you point these important facts out you get dog piled as an anti-vaxxer. Insanity!",1
165,"I am not against anyone who wants it taking the vaccine. Your body your choice. I am however very much against forcing people to take it, especially as a condition of employment. It will be quite sometime before we know the full side effects of this new experimental drug.",1
166,I’m too excited to get my first round of the COVID vaccine on Sunday 😆,0
167,"Gulf War Vaccine Syndrome- How the Experimental Anthrax
Vaccine Killed 35,000 Military Men and Women
Eve of Battle - a Scott Miller and Co. Movie
https://t.co/073GH2jzLq",1
168,"My 67 yo moma who is an office mgr for an OP IM clinic and has kept doing her job and avoided #COVID19 for 1 yr got her moderna vaccine today!! I've never been more excited that I can at least count down the days I can see her soon after her 2nd shot, it's been 1 yr. #IDtwitter",0
169,Just got my appointment to be vaccinated and I’m extremely nervous and slightly excited all in one. #vaccine,0
170,Just scheduled my 1st Covid vaccine for next week. So excited!!! 🥳🥳🥳,0
171,I'm getting my first dose of the vaccine this week through my employer! I'm excited and grateful but also I feel bad because I really want to quit before this summer.,0
172,Wife got the vaccine today! Pretty excited that we are getting this close to normal.,0
173,Appointment for COVID vaccine booked 😎,0
174,A rushed vaccine. Using your fears before safety. They tell you it’s safe. Think no long term testing.  And you are not shown the data.  They just want you to believe what they say.,1
175,"If the vaccine is to help with depopulation, what does the actual virus help with?🤔",1
176,"We're all excited to welcome 2021 and your safest option is to celebrate only with the people who share your home. Let's keep up with social distancing, masks &amp; avoiding crowds to get COVID-19 under control. #NewYearsEve
https://t.co/NjcyHKdtmT",0
177,"People never shamed me into getting a flu shot over “herd immunity” and they won’t shame me into getting this rushed vaccine either. 

It’s all about control for weak and underachieving losers - it’s not about a virus.",1
178,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/QejuKjXUTD,0
179,"Birchwood and Providence Place Senior Living are getting the COVID-19 Vaccines today! Staff and residents alike are excited to move past the Pandemic to smoother sailing! What a way to ring in the new year!
#carenotcovid #BecauseTheJourneyMatters #Moderna https://t.co/BIGmKUnykh",0
180,Dose 1 of the vaccine!,0
181,"Pfizer CEU Ed Pfizer::""""this vaccine is a bioweapon..dangerous...DONT TAKE IT!!""""""",1
182,"My mum got vaccinated yesterday. She’s not gonna bring covid home from work now, amazing. I stg I hadn’t been this excited for a vaccine since the rabies vaccine.",0
183,I really hate seeing all these people tricked into a vaccine that has not been thoroughly tested for long term side effects! You act like sheep to the slaughter! You are being a guinea pig for a untested vaccine from a man with no medical history,1
184,"I'm not taking a vaccine unless Trump keeps his office ..according to the chinese news hunters laptops contain peadofilia, a 4 billion dollar deal with chinese business and government leaders ..and on the 3rd ..the release of a bioweapon (corona) to take control of china &amp; USA !",1
185,Getting the Covid vaccine tomorrow. Nervously excited.,0
186,Everybody stop with the useless thoughts on the vaccine. This is a very dangerous vaccine which will change humanity forever. Do not take it.,1
187,My grandma is supposed to get her vaccine next week and I just bawl my eyes out thinking about being one step closer to hugging her bc it’s been almost a year since she went into lockdown but I’m also afraid to get to excited and jinx it and her get sick b4 I know I’m crazy 😭💔,0
188,So I guess grocery store workers are getting the vaccine next probably during January! Ya boy is hella excited!!!,0
189,I’m getting the first dose of the covid vaccine on Saturday! Nervous but excited at the same time 😬,0
190,"With 2021 and widespread availability of the #COVID19 vaccine around the corner...

What are you most excited/hopeful for a return of? 🤞",0
